time,entropy,precession,phase_diff
0.4,262.92567436018675,55.837457452175244,0.4909941475712217
0.41000000000000003,253.1697575646583,56.46171135818317,0.49587035682204506
0.42,243.95153171733125,57.07354953753736,0.5005676804482659
0.43,235.23180525768157,57.67345990152939,0.5050953802525546
0.44,226.97493995612447,58.2619020134643,0.509462121133926
0.45,219.1484646092363,58.83930925247132,0.5136760152148705
0.46,211.72273792114777,59.40609077377235,0.5177446625513477
0.47000000000000003,204.67065332677006,59.96263328807261,0.521675188580098
0.48,197.96737978398548,60.509302679848865,0.5254742786274542
0.49,191.59013348308227,61.04644548179753,0.5291482097095033
0.5,185.51797627060105,61.57439022060233,0.5327028797180257
0.51,179.7316371804959,62.09344864730836,0.5361438343973332
0.52,174.21335405357016,62.603916864022864,0.539476292125545
0.53,168.946732670281,63.10607635730454,0.5427051667739924
0.54,163.91662115777856,63.60019494737721,0.5458350887770538
0.55,159.10899780399046,64.08652766130459,0.5488704245461893
0.56,154.51087062953698,64.56531753733225,0.5518152943851742
0.5700000000000001,150.11018732304808,65.03679636683343,0.5546735890569484
0.58,145.89575431222465,65.50118537958834,0.5574489850300489
0.59,141.85716392528175,65.9586958775341,0.560144958605928
0.6,137.98472870986348,66.40952982156921,0.5627647989979461
0.61,134.26942211661614,66.85388037553699,0.5653116203933378
0.62,130.70282484570734,67.29193241109492,0.5677883731486786
0.63,127.27707623658095,67.72386297679967,0.5701978541600131
0.64,123.98483016845394,68.14984173441957,0.5725427164820838
0.65,120.8192149911157,68.5700313651876,0.5748254782375526
0.66,117.77379706871278,68.9845879484509,0.5770485309030706
0.67,114.8425475664291,69.39366131494099,0.5792141470038079
0.68,112.01981215344176,69.79739537668343,0.5813244872673103
0.6900000000000001,109.30028333046221,70.19592843537922,0.5833816072782462
0.7000000000000001,106.67897512407812,70.58939347092529,0.5853874636766022
0.71,104.15119991758776,70.9779184115909,0.587343919928857
0.72,101.71254721438363,71.36162638723503,0.5892527517125061
0.73,99.35886415054279,71.74063596682794,0.5911156519350531
0.74,97.08623759305044,72.11506138143162,0.5929342354207153
0.75,94.89097767758638,72.4850127336963,0.5947100432880059
0.76,92.7696026543263,72.85059619484093,0.5964445470413905
0.77,90.71882492393962,73.21191419000566,0.5981391523982498
0.78,88.73553815777505,73.56906557279139,0.5997952028700446
0.79,86.81680540676041,73.92214578973582,0.6014139831157229
0.8,84.95984811265207,74.27124703541486,0.6029967220841748
0.81,83.16203594455601,74.61645839880441,0.6045445959603081
0.8200000000000001,81.42087738999906,74.95786600148784,0.6060587309316563
0.8300000000000001,79.73401103683618,75.29555312824824,0.6075402057782349
0.84,78.09919748911697,75.62960035054486,0.6089900543138863
0.85,76.51431186405581,75.96008564333411,0.6104092676727703
0.86,74.97733682290607,76.28708449566139,0.611798796462701
0.87,73.48635609285846,76.61067001541915,0.6131595527966582
0.88,72.03954844036866,76.9309130286364,0.6144924121968813
0.89,70.63518206065424,77.24788217363961,0.6157982153881759
0.9,69.27160935004198,77.56164399039913,0.6170777699951606
0.91,67.94726203256005,77.87226300535481,0.6183318521365638
0.92,66.66064661297361,78.17980181199258,0.6195612079271273
0.93,65.41034013089082,78.48432114742434,0.6207665549059438
0.9400000000000001,64.19498619493343,78.78587996520852,0.6219485833728617
0.9500000000000001,63.013291274334364,79.08453550462961,0.6231079576582936
0.96,61.864021229577304,79.38034335664136,0.6242453173222876
0.97,60.745998065558275,79.67335752666621,0.625361278281435
0.98,59.65809688931745,79.96363049442758,0.6264564338926399
0.99,58.59924305901031,80.2512132709827,0.6275313559606237
1.0,57.568409510575314,80.53615545311244,0.6285865957003787
1.01,56.56461424860502,80.81850527521273,0.6296226846458096
1.02,55.586917990235996,81.09830965882477,0.630640135512986
1.03,54.634421951968,81.37561425993138,0.6316394430194352
1.04,53.7062657698357,81.65046351414097,0.63262108466768
1.05,52.80162554237153,81.92290067986957,0.6335855214663055
1.06,51.919711989459444,82.1929678796275,0.6345331986469193
1.07,51.05976871899255,82.46070613950965,0.6354645463225412
1.08,50.22107059376683,82.72615542698203,0.6363799801121546
1.09,49.40292219247402,82.98935468705265,0.637279901749123
1.1,48.60465635873404,83.25034187690919,0.6381646996474731
1.11,47.825632831524615,83.50915399909954,0.6390347494558395
1.12,47.065236953465124,83.76582713333032,0.63989041456639
1.1300000000000001,46.32287845020013,84.02039646695023,0.6407320465977128
1.1400000000000001,45.59799027719697,84.27289632418311,0.6415599858795742
1.1500000000000001,44.89002753017133,84.5233601941725,0.6423745618997002
1.16,44.198466414701876,84.77182075789533,0.643176093715535
1.17,43.52280327136905,85.0183099139991,0.6439648903737805
1.18,42.862553652405346,85.26285880361218,0.6447412512901556
1.19,42.21725144890308,85.50549783417902,0.6455054666262834
1.2,41.58644806234984,85.74625670236298,0.6462578176335161
1.21,40.96971162039583,85.98516441606125,0.646998576993844
1.22,40.366626233534596,86.22224931557402,0.6477280091490117
1.23,39.776791289286315,86.45753909396447,0.6484463706040515
1.24,39.19982078318228,86.69106081664815,0.6491539102125812
1.25,38.635342683657825,86.92284094024627,0.6498508694637576
1.26,38.08299832872572,87.15290533073548,0.6505374827619619
1.27,37.542441852716884,87.38127928092497,0.65121397766641
1.28,37.01333964203718,87.60798752729191,0.6518805751476984
1.29,36.49536981719381,87.83305426620196,0.652537489816087
1.3,35.98822174067445,88.05650316954276,0.6531849301570166
1.31,35.49159554858289,88.27835739979517,0.6538230987405643
1.32,35.00520170482327,88.49863962456628,0.6544521924283094
1.33,34.528760576545814,88.71737203060684,0.655072402574381
1.34,34.06200203047996,88.9345763373365,0.6556839152264436
1.35,33.604665047459,89.15027380989517,0.6562869112779837
1.36,33.156497355823134,89.36448527174211,0.6568815666757629
1.37,32.71725508154325,89.57723111682068,0.6574680525666557
1.3800000000000001,32.2867024144455,89.78853132130618,0.6580465354750108
1.3900000000000001,31.86461129028641,89.99840545495485,0.6586171774475796
1.4000000000000001,31.450761087147317,90.20687269206977,0.6591801362013475
1.41,31.044938335561785,90.41395182209908,0.6597355652737635
1.42,30.646936441584128,90.61966125988042,0.6602836141483707
1.43,30.25655542285229,90.82401905554728,0.660824428397229
1.44,29.87360165575789,91.02704290410918,0.6613581498072835
1.45,29.497887634305112,91.22875015471924,0.6618849164898238
1.46,29.12923173938843,91.42915781964116,0.6624048630156273
1.47,28.767458018185206,91.62828258292707,0.6629181205210604
1.48,28.412395972892494,91.82614080881697,0.6634248168127216
1.49,28.063880359208166,92.02274854987178,0.663925076471055
1.5,27.72175099292494,92.21812155484875,0.6644190209530662
1.51,27.38585256481871,92.41227527632918,0.6649067686917332
1.52,27.05603446381444,92.60522487810879,0.665388435193679
1.53,26.73215060721908,92.7969852423583,0.665864133115014
1.54,26.41405927800476,92.98757097656306,0.666333972357841
1.55,26.10162296925314,93.17699642025049,0.6667980601492796
1.56,25.794708234582192,93.3652756515119,0.667256501125103
1.57,25.493185545250963,93.55242249332771,0.6677093974121783
1.58,25.196929152685026,93.73845051970196,0.6681568486926023
1.59,24.905816956832783,93.92337306161362,0.6685989522850886
1.6,24.619730379633705,94.10720321279062,0.669035803206818
1.61,24.338554243725593,94.28995383531316,0.669467494243675
1.62,24.06217665601335,94.47163756505273,0.6698941160238905
1.6300000000000001,23.790488895789945,94.65226681695212,0.6703157570622094
1.6400000000000001,23.523385307349255,94.83185379015211,0.6707325038299851
1.6500000000000001,23.260763196931464,95.01041047297056,0.6711444408228158
1.6600000000000001,23.002522733343422,95.18794864773821,0.6715516506043928
1.67,22.748566852694776,95.36447989549632,0.6719542138678841
1.68,22.49880116679204,95.54001560056129,0.6723522094804688
1.69,22.253133875128395,95.71456695496059,0.6727457145411126
1.7,22.011475680078153,95.88814496274415,0.6731348044290666
1.71,21.773739705332208,96.0607604441754,0.6735195528500572
1.72,21.539841417635614,96.23242403980623,0.6739000318821106
1.73,21.309698551176922,96.40314621443949,0.6742763120263506
1.74,21.08323103488672,96.57293726098244,0.674648462235514
