t_s,t_days,phi_L_rad,phi_L_deg,varpi_io_rad,varpi_eu_rad,varpi_ga_rad,kappa_io,kappa_eu,kappa_ga,x_io,y_io,x_eu,y_eu,x_ga,y_ga
1082100.0,12.524305555555555,-3.1350028927823983,-179.62243451773554,2.972265516477965e-07,9.306007874028004e-08,2.8964597367461116e-08,6.680855182440871e-09,4.202962946641206e-09,2.633541594559968e-09,-373450992.4433017,-196528333.29876667,-662189590.90888,-107485525.44075505,2627519.4304284807,-1070561979.1086643
1082400.0,12.527777777777779,-3.135032206361787,-179.62411406211694,2.9730883878310184e-07,9.308590783068504e-08,2.897262537325462e-08,6.6807974752296336e-09,4.2030030450553515e-09,2.6335422088112882e-09,-371005848.6597127,-201113751.93196884,-661509699.5381283,-111552755.22458756,5891264.16696635,-1070549016.9842184
1082700.0,12.53125,-3.135062107811672,-179.62582728899667,2.973911241666126e-07,9.31117375585598e-08,2.8980653380696224e-08,6.680740305290451e-09,4.203043122282151e-09,2.633542830743727e-09,-368504419.78871423,-205668657.75650787,-660804816.5205252,-115615772.05490464,9154957.07637296,-1070526103.6917524
1083000.0,12.534722222222221,-3.13509259485809,-179.62757406808626,2.9747340781507567e-07,9.313756792354445e-08,2.898868138982336e-08,6.680683683258849e-09,4.203083177325911e-09,2.6335434603837792e-09,-365947086.71875435,-210192360.53497308,-660074967.8053548,-119674422.29846436,12418567.805195885,-1070493239.4044671
1083300.0,12.538194444444445,-3.135123665163725,-179.62935426546733,2.975556897455492e-07,9.316339892525211e-08,2.899670940067369e-08,6.680627619632681e-09,4.203123209142974e-09,2.633544097756133e-09,-363334238.78685296,-214684174.7914427,-659320180.286632,-123728552.47752272,15682066.000301715,-1070450424.3881882
1083600.0,12.541666666666666,-3.135155316328709,-179.63116774363758,2.9763796997539894e-07,9.31892305632687e-08,2.9004737413285106e-08,6.680572124770324e-09,4.203163216642984e-09,2.6335447428835996e-09,-360666273.71894604,-219143419.914453,-658540481.8021866,-127778009.27570036,18945421.30916088,-1070397659.0013679
1083900.0,12.54513888888889,-3.135187545891432,-179.63301436155714,2.9772024852229443e-07,9.321506283715276e-08,2.901276542769572e-08,6.680517208888969e-09,4.203203198690215e-09,2.6335453957870286e-09,-357943597.56898487,-223569420.25921616,-657735901.132715,-131822639.54384376,22208603.380132556,-1070334943.6950853
1084200.0,12.54861111111111,-3.1352203513293606,-179.63489397469553,2.9780252540420527e-07,9.32408957464352e-08,2.9020793443943857e-08,6.680462882063053e-09,4.203243154104944e-09,2.6335460564852286e-09,-355166624.65679836,-227961505.24907207,-656906468.0007966,-135862290.30588073,25471581.862749603,-1070262279.0130467
1084500.0,12.552083333333334,-3.135253730059861,-179.6368064350787,2.978848006393971e-07,9.326672929061913e-08,2.9028821462068057e-08,6.68040915422275e-09,4.203283081664884e-09,2.633546724994881e-09,-352335777.50472987,-232319009.4761599,-656052213.0698764,-139896808.76466972,28734326.408003617,-1070179665.5915841
1084800.0,12.555555555555555,-3.1352876794410065,-179.63875159133545,2.979670742464277e-07,9.32925634691797e-08,2.903684948210706e-08,6.680356035152609e-09,4.203322980106638e-09,2.6335474013304533e-09,-349451486.77305734,-236641272.8012946,-655173167.943213,-143926042.30784306,31996806.66863003,-1070087104.1596528
1085100.0,12.559027777777779,-3.135322196772414,-179.64072928874512,2.980493462441432e-07,9.331839828156395e-08,2.9044877504099804e-08,6.680303534490211e-09,4.203362848127198e-09,2.6335480855041127e-09,-346514191.1942071,-240927640.45303386,-654269365.162792,-147949838.5136436,35258992.29939326,-1069984595.5388292
1085400.0,12.5625,-3.1353572792960662,-179.6427393692851,2.9813161665167377e-07,9.334423372719056e-08,2.905290552808541e-08,6.680251661724979e-09,4.203402684385451e-09,2.6335487775256313e-09,-343524337.505772,-245177463.1259218,-653340838.2082053,-151968045.15675455,38520852.95737197,-1069872140.6433066
1085700.0,12.565972222222221,-3.1353929241971175,-179.64478167167647,2.982138854884298e-07,9.337006980544984e-08,2.9060933554103182e-08,6.680200426197005e-09,4.203442487503703e-09,2.633549477402298e-09,-340482380.38234425,-249390097.0778945,-652387621.4954954,-155980510.21412238,41782358.302244306,-1069749740.4798901
1086000.0,12.569444444444445,-3.135429128604743,-179.6468560314332,2.982961527740976e-07,9.339590651570352e-08,2.9068961582192606e-08,6.680149837095973e-09,4.203482256069214e-09,2.633550185138817e-09,-337388782.3661726,-253564904.2268345,-651409750.3759652,-159987081.87077263,45043477.99657329,-1069617396.147992
1086300.0,12.572916666666666,-3.135465889592936,-179.6489622809074,2.983784185286354e-07,9.342174385728461e-08,2.907698961239333e-08,6.680099903460143e-09,4.203521988635728e-09,2.6335509007372154e-09,-334244013.79665655,-257701252.24625888,-650407261.134953,-163987608.525618,48304181.70609221,-1069475108.8396242
1086600.0,12.57638888888889,-3.1355032041813446,-179.65110024933747,2.98460682772269e-07,9.344758182949736e-08,2.9085017644745155e-08,6.680050634175397e-09,4.203561683725001e-09,2.63355162419674e-09,-331048552.738686,-261798514.66012892,-649380190.9905728,-167981938.79725903,51564439.09999005,-1069322879.8393916
1086900.0,12.57986111111111,-3.135541069336086,-179.65326976289475,2.985429455254876e-07,9.347342043161712e-08,2.9093045679288037e-08,6.6800020379743125e-09,4.203601339828328e-09,2.63355235551376e-09,-327802884.9098399,-265856070.93676633,-648328578.0924194,-171969921.529777,54824219.851197034,-1069160710.5244834
1087200.0,12.583333333333334,-3.1355794819705576,-179.65547064472995,2.9862520680903965e-07,9.349925966289024e-08,2.9101073716062073e-08,6.6799541234353316e-09,4.203640955408035e-09,2.6335530946816576e-09,-324507503.60645294,-269873306.58186346,-647252461.5202394,-175951405.7985183,58083493.63667017,-1068988602.3646641
1087500.0,12.586805555555555,-3.1356184389462634,-179.6577027150205,2.987074666439283e-07,9.352509952253402e-08,2.910910175510749e-08,6.679906898981934e-09,4.203680528898986e-09,2.633553841690724e-09,-321162909.6285632,-273849613.23057365,-646151881.2825658,-179926240.915871,61342230.13767884,-1068806556.9222634
1087800.0,12.590277777777779,-3.1356579370736153,-179.65996579101642,2.9878972505140733e-07,9.35509400097366e-08,2.9117129796464637e-08,6.679860372881877e-09,4.203720058710032e-09,2.6335545965280542e-09,-317769611.20375174,-277784388.73866934,-645026878.3153197,-183894276.4370325,64600399.04009049,-1068614575.8521652
1088100.0,12.59375,-3.1356979731127463,-179.66225968708704,2.988719820529766e-07,9.357678112365695e-08,2.9125157840173977e-08,6.679814553246464e-09,4.203759543225471e-09,2.6335553591774336e-09,-314328123.9098849,-281677037.2727534,-643877494.4803741,-187855362.16576874,67857970.0346563,-1068412660.901796
1088400.0,12.597222222222221,-3.1357385437743197,-179.66458421476727,2.9895423767037764e-07,9.360262286342481e-08,2.9133185886276073e-08,6.6797694480298454e-09,4.203798980806457e-09,2.633556129619229e-09,-310838970.5967729,-285526969.3995129,-642703772.564086,-191809348.16016445,71114912.81729695,-1068200813.9111117
1088700.0,12.600694444444445,-3.1357796457203264,-179.66693918280322,2.990364919255894e-07,9.36284652281406e-08,2.9141213934811578e-08,6.679725065028375e-09,4.203838369792386e-09,2.633556907830273e-09,-307302681.30675465,-289333602.1740003,-641505756.2757909,-195756084.73836386,74371197.08938836,-1067979036.8125845
1089000.0,12.604166666666666,-3.135821275564888,-179.6693243971984,2.991187448408236e-07,9.365430821687545e-08,2.914924198582123e-08,6.679681411879962e-09,4.203877708502266e-09,2.633557693783749e-09,-303719793.1942228,-293096359.22693175,-640283490.2462627,-199695422.48430276,77626792.55804752,-1067747331.6311884
1089300.0,12.60763888888889,-3.1358634298750605,-179.67173966125955,2.992009964385204e-07,9.368015182867113e-08,2.9157270039345836e-08,6.679638496063486e-09,4.203916995236029e-09,2.6335584874490782e-09,-300090850.4440994,-296814670.85098755,-639037020.0261393,-203627212.2534304,80881668.93641841,-1067505700.4843835
