t_s,t_days,phi_L_rad,phi_L_deg,varpi_io_rad,varpi_eu_rad,varpi_ga_rad,kappa_io,kappa_eu,kappa_ga,x_io,y_io,x_eu,y_eu,x_ga,y_ga
1683600.0,19.48611111111111,-3.1294383000664325,-179.30360684040147,4.62448918954036e-07,1.4478703484127945e-07,4.506526599346178e-08,6.682166367284414e-09,4.201756526191575e-09,2.6333395617757823e-09,-420900641.49462867,-29367087.371375695,-668201376.3805034,61852618.791339815,-178185199.17171586,-1055709110.7132677
1683900.0,19.489583333333332,-3.1294526713607063,-179.3044302549095,4.625312447465113e-07,1.448128452585255e-07,4.5073292532038086e-08,6.682059887659866e-09,4.201821737923105e-09,2.633339929745186e-09,-420513624.9196716,-34550305.558136664,-668558078.1998411,57745676.159499496,-174966441.51473698,-1056247411.4508983
1684200.0,19.493055555555557,-3.129468025666325,-179.30530999181883,4.6261356727438394e-07,1.4483865669395193e-07,4.5081319070947874e-08,6.681953692004478e-09,4.201886942713665e-09,2.6333403059708515e-09,-420062777.3138654,-39728277.64856759,-668889542.5063099,53636552.3812105,-171746054.7420895,-1056775897.4314597
1684500.0,19.49652777777778,-3.1294843624002002,-179.3062460177209,4.6269588654741335e-07,1.448644691478978e-07,4.50893456102342e-08,6.681847799196471e-09,4.201952139824571e-09,2.633340690505801e-09,-419548170.1080056,-44900217.91577018,-669195755.6544898,49525402.45010796,-168524068.78218526,-1057294563.70242
1684800.0,19.5,-3.129501680872247,-179.30723829307678,4.627782025759144e-07,1.4489028262066865e-07,4.509737214994043e-08,6.6817422280786695e-09,4.202017328499578e-09,2.633341083402623e-09,-418969884.39443743,-50065341.62296547,-669476704.9511379,45412381.45251268,-165300513.5787781,-1057803405.4024546
1685100.0,19.50347222222222,-3.1295199802854636,-179.30828677222166,4.6286051537075624e-07,1.4491609711253604e-07,4.5105398690110254e-08,6.6816369974503894e-09,4.202082507960382e-09,2.6333414847134334e-09,-418328010.9129573,-55222865.14204968,-669732378.655766,41297644.56156922,-162075419.09068558,-1058302417.7614963
1685400.0,19.506944444444443,-3.1295392597360667,-179.30939140337256,4.629428249433607e-07,1.4494191262373746e-07,4.5113425230787654e-08,6.681532126059548e-09,4.2021476774023936e-09,2.6333418944898473e-09,-417622650.0352622,-60372006.07193444,-669962765.9811863,37181347.03137586,-158848815.29151022,-1058791596.1007838
1685700.0,19.510416666666668,-3.1295595182137106,-179.3105521286409,4.6302513130570076e-07,1.4496772915447602e-07,4.512145177201693e-08,6.681427632594996e-09,4.202212835990834e-09,2.6333423127829392e-09,-416853911.74795294,-65511983.35665391,-670167857.0940228,33063644.19110681,-155620732.16936073,-1059270935.8329108
1686000.0,19.51388888888889,-3.1295807546017116,-179.31176888404548,4.6310743447029856e-07,1.4499354670492012e-07,4.512947831384269e-08,6.681323535679062e-09,4.202277982857114e-09,2.6333427396432115e-09,-416021915.6340935,-70642017.40322141,-670347643.1151909,28944691.439127028,-152391199.7265727,-1059740432.461872
1686300.0,19.51736111111111,-3.1296029676774015,-179.3130415995325,4.631897344502236e-07,1.4501936527520319e-07,4.513750485630983e-08,6.681219853860381e-09,4.202343117095554e-09,2.633343175120553e-09,-415126790.8533314,-75761330.19921842,-670502116.1203436,24824644.237100266,-149160247.97942957,-1060200081.5831109
1686600.0,19.520833333333332,-3.129626156112451,-179.31437019899434,4.6327203125909033e-07,1.4504518486542332e-07,4.514553139946357e-08,6.6811166056069325e-09,4.202408237760366e-09,2.6333436192642013e-09,-414168676.12058204,-80869145.4300984,-670631269.1402864,20703658.10409065,-145927906.95788312,-1060649878.8835647
1686900.0,19.524305555555557,-3.129650318473317,-179.31575460029504,4.633543249110561e-07,1.4507100547564305e-07,4.515355794334942e-08,6.681013809299344e-09,4.202473343862994e-09,2.633344072122702e-09,-413147719.6832831,-85964688.59618865,-670735096.1613579,16581888.610658273,-142694206.70527363,-1061089820.141709
1687200.0,19.52777777777778,-3.12967545322169,-179.31719471529595,4.6343661542081844e-07,1.4509682710588897e-07,4.516158448801318e-08,6.680911483224452e-09,4.202538434369715e-09,2.6333445337438683e-09,-412064079.2972212,-91047187.12937297,-670813592.1257783,12459491.372949293,-139459177.27805015,-1061519901.2276016
1687500.0,19.53125,-3.1297015587150128,-179.31869044988545,4.6351890280361245e-07,1.4512264975615141e-07,4.5169611033500966e-08,6.680809645569121e-09,4.202603508199578e-09,2.6333450041747366e-09,-410917922.2009383,-96115870.50943798,-670866752.9319657,8336622.046780837,-136222848.74549043,-1061940118.1029261
1687800.0,19.53472222222222,-3.129728633207014,-179.32024170400956,4.6360118707520796e-07,1.4514847342638412e-07,4.517763757985918e-08,6.6807083144142956e-09,4.2026685642225905e-09,2.6333454834615225e-09,-409709425.0887203,-101169970.38006647,-670894575.4348195,4213436.321721284,-132985251.1894205,-1062350466.8210331
